S.NO.,RAT,RT/PCR,POSITIVITY
1,6,94,3
2,2,98,1.69
3,30,70,1.41
4,11,89,0.87
5,4,96,0.74
6,2,98,0.56
7,4,96,0.44
8,19,81,0.37
9,2,98,0.35
10,6,94,0.28
11,1,99,0.19
12,2,98,0.09
13,1,99,0.07
