S.NO.,RAT,RT/PCR,POSITIVITY
1,40,60,22.06
2,35,65,16.53
3,46,54,15.8
4,46,54,15.61
5,31,69,15
6,27,73,14.16
7,43,57,13.03
8,38,62,11.82
9,24,76,11.74
10,28,72,11.45
11,43,57,10.43
12,31,69,9.6
13,45,55,8.97
14,34,66,8.32
