S.NO.,RAT,RT/PCR,POSITIVITY
1,35,65,2.08
2,16,84,1.37
3,10,90,0.99
4,13,87,0.68
5,13,87,0.52
6,3,97,0.44
7,47,53,0.37
8,21,79,0.29
9,39,61,0.28
10,7,93,0.27
11,3,97,0.25
12,28,72,0.21
13,3,97,0.21
14,8,92,0.18
15,12,88,0.17
16,19,81,0.16
17,7,93,0.12
18,10,90,0.1
19,4,96,0.09
20,23,77,0.03
21,7,93,0
22,16,84,0
