S.NO.,RAT,RT/PCR,POSITIVITY
1,49,51,1.53
2,43,57,1.18
3,44,56,0.41
4,31,69,0.32
5,35,65,0.29
6,37,63,0.27
7,27,73,0.26
8,28,72,0.25
8,28,72,0.24
9,54,46,0.21
10,17,83,0.17
11,33,67,0.13
12,31,69,0.12
13,42,58,0.12
14,10,90,0.12
15,45,55,0.12
16,39,61,0.1
17,51,49,0.07
18,47,53,0.07
19,53,47,0.06
20,22,78,0.06
21,42,58,0.06
