S.NO.,RAT,RT/PCR,POSITIVITY
1,47,53,2.12
2,54,46,0.67
3,64,36,0.59
4,66,34,0.49
5,79,21,0.33
6,88,12,0.28
7,77,23,0.17
8,86,14,0.14
9,64,36,0.13
10,97,3,0.12
11,39,61,0.12
12,72,28,0.1
13,64,36,0.08
14,95,5,0.08
15,68,32,0.06
16,91,9,0.03
17,77,23,0.03
18,99,1,0.02
19,70,30,0.02
20,91,9,0.01
