S.NO.,RAT,RT/PCR,POSITIVITY
1,55,45,1.09
2,25,75,1.05
3,9,91,0.84
4,40,60,0.79
5,51,49,0.7
6,55,45,0.44
7,43,57,0.34
8,33,67,0.33
9,43,57,0.32
10,46,54,0.31
11,71,29,0.31
12,59,41,0.31
13,60,40,0.29
14,58,42,0.29
15,72,28,0.28
16,83,17,0.26
17,75,25,0.22
18,73,27,0.2
19,70,30,0.18
20,79,21,0.18
21,36,64,0.13
22,59,41,0.09
23,60,40,0.06
